Date,Close,Volume,EMA10,EMA50,EMA100,ROC12,ROC24,Name,AUD,CAD,EUR,GBP,USD,JPY,ENX,JPXGY,NIKKEI,NYSE,SSE,GOLD,OIL,SILVER
7/10/2015,4997.7,1590230000,4990.028241,,,2.49534786,,NASDAQ,1.34,1.27,1.11,1.54,96.03,121.7,37.96,8.22,19779.83,10853.92,3877.8,1157.9,52.74,15.48
7/13/2015,5071.51,1694140000,5004.843106,,,0.802127966,,NASDAQ,1.35,1.27,1.11,1.55,96.86,122.5,39.4,8.27,20089.77,10944.85,3970.39,1155.4,52.2,15.46
7/14/2015,5104.89,1682660000,5023.03345,,,-0.477581299,-1.782996304,NASDAQ,1.35,1.28,1.1,1.55,96.64,123.57,39.94,8.45,20385.33,10993.26,3924.49,1153.5,53.04,15.32
7/15/2015,5098.94,1691350000,5036.834641,,,-2.75488631,-0.436365205,NASDAQ,1.34,1.27,1.1,1.56,97.13,123.32,40.42,8.4,20463.33,10958.83,3805.7,1147.4,51.41,15.05
7/16/2015,5163.18,1823530000,5059.806525,,,-3.414756022,-1.562409213,NASDAQ,1.36,1.29,1.09,1.56,97.66,123.87,40.9,8.65,20600.12,11024.87,3823.18,1143.9,50.91,14.98
7/17/2015,5210.14,1854450000,5087.139884,,,-3.781472283,-3.052509146,NASDAQ,1.35,1.3,1.09,1.56,97.86,124.15,41.01,8.51,20650.92,10987.17,3957.35,1131.9,50.89,14.83
7/21/2015,5208.12,1774570000,5109.136269,,,-3.819228436,-3.420620109,NASDAQ,1.36,1.3,1.08,1.56,97.33,124.29,39.99,8.54,20841.97,10919,4017.68,1103.5,50.36,14.79
7/22/2015,5171.77,2035730000,5120.52422,,,-3.477146122,-2.247199701,NASDAQ,1.35,1.29,1.09,1.56,97.6,123.86,39.6,8.54,20593.67,10899.86,4026.04,1091.5,49.19,14.73
7/23/2015,5146.41,2003310000,5125.230725,,,-2.894250555,-1.58421113,NASDAQ,1.36,1.3,1.09,1.56,97.12,124.07,39.47,8.73,20683.95,10840.73,4123.92,1094.1,48.45,14.7
7/24/2015,5088.63,2004380000,5118.576048,,,-3.515091488,0.870961339,NASDAQ,1.36,1.3,1.1,1.55,97.24,123.88,39.45,8.55,20544.53,10721.95,4070.91,1085.5,48.14,14.49
7/27/2015,5039.78,1942520000,5104.249494,,,-2.32906992,1.532209739,NASDAQ,1.37,1.3,1.1,1.55,96.5,123.76,39,8.18,20350.1,10656.61,3725.56,1096.9,47.39,14.61
7/28/2015,5089.21,2025110000,5101.51504,,,-1.798117979,1.392750545,NASDAQ,1.37,1.3,1.11,1.56,96.77,123.24,38.75,8.61,20328.89,10790.18,3663,1096.7,47.98,14.64
7/29/2015,5111.73,1890350000,5103.372306,,,-0.78681777,0.208931223,NASDAQ,1.36,1.29,1.11,1.56,96.98,123.58,39,8.72,20302.91,10883.91,3789.17,1093.3,48.79,14.74
7/30/2015,5128.78,1908480000,5107.991887,,,-0.465802784,-0.323468739,NASDAQ,1.37,1.29,1.1,1.56,97.56,123.94,40.6,8.75,20522.83,10881.75,3705.77,1088.7,48.52,14.7
7/31/2015,5128.28,1926360000,5111.680634,,,-0.572121647,-0.9315014,NASDAQ,1.37,1.3,1.09,1.56,97.37,124.07,41.56,8.76,20585.24,10882.28,3663.73,1095.1,47.12,14.75
8/3/2015,5115.38,1790080000,5112.353246,,,0.934436933,-3.067416301,NASDAQ,1.37,1.31,1.1,1.56,97.49,124.04,42,8.61,20548.11,10841.26,3622.91,1089.4,45.17,14.52
8/4/2015,5105.55,1819700000,5111.116292,,,2.048555004,-2.324529189,NASDAQ,1.37,1.32,1.1,1.56,97.93,123.95,41.75,8.68,20520.36,10824.7,3756.54,1090.7,45.74,14.56
8/5/2015,5139.94,2041490000,5116.356967,,,1.326474628,-2.467343977,NASDAQ,1.36,1.32,1.09,1.56,97.96,124.27,41.64,8.77,20614.06,10847.85,3694.57,1085.6,45.15,14.55
8/6/2015,5056.44,2290950000,5105.462973,,,2.280853723,-0.934056372,NASDAQ,1.36,1.32,1.09,1.56,97.83,124.73,41.66,8.71,20664.44,10799.44,3661.54,1090.1,44.66,14.68
8/7/2015,5043.54,2008360000,5094.20425,,,2.039638825,-1.023090924,NASDAQ,1.36,1.31,1.09,1.55,97.56,124.73,40.19,8.59,20724.56,10763.15,3744.21,1094.1,43.87,14.82
8/10/2015,5101.8,1784930000,5095.585296,,,-0.258144184,-2.045160532,NASDAQ,1.35,1.31,1.1,1.55,97.16,124.3,40.79,8.7,20808.69,10906.05,3928.42,1104.1,44.96,15.29
8/11/2015,5036.79,1912340000,5084.895242,,,0.059363206,-2.522042809,NASDAQ,1.35,1.3,1.1,1.56,97.29,124.61,40.44,8.51,20720.75,10802.09,3927.91,1107.7,43.08,15.28
8/12/2015,5044.39,2089460000,5077.530653,,,0.888511792,-2.418330066,NASDAQ,1.37,1.31,1.1,1.56,96.26,125.07,39.36,8.44,20392.77,10779.46,3886.32,1123.6,43.3,15.48
8/13/2015,5033.56,1632340000,5069.535988,,,1.552976422,-0.712418249,NASDAQ,1.35,1.3,1.12,1.56,96.45,124.25,39.99,8.56,20595.55,10745.31,3954.56,1115.6,42.23,15.4
8/14/2015,5048.24,1487630000,5065.663991,,,1.595407508,0.460952728,NASDAQ,1.36,1.31,1.12,1.56,96.57,124.36,40,8.53,20519.45,10782.24,3965.33,1112.7,42.5,15.21
8/17/2015,5091.7,1510790000,5070.39781,,,0.718424102,0.259049041,NASDAQ,1.36,1.31,1.11,1.57,96.82,124.35,39.87,8.46,20620.26,10818.57,3993.67,1118.4,41.87,15.3
8/18/2015,5059.35,1501540000,5068.389118,,,1.107454515,0.782511587,NASDAQ,1.36,1.31,1.11,1.56,96.97,124.44,39.99,8.36,20554.47,10792.8,3748.16,1116.9,42.62,14.79
8/19/2015,5019.05,1785420000,5059.418369,,,1.723433718,2.871658979,NASDAQ,1.36,1.31,1.1,1.57,96.46,124.37,39.97,8.32,20222.63,10687.02,3794.11,1127.9,40.8,15.18
8/20/2015,4877.49,2087000000,5026.340484,5068.4248,,5.380841375,6.820106243,NASDAQ,1.36,1.31,1.11,1.57,95.75,123.9,38.83,8.04,20033.52,10475.75,3664.29,1153.2,41.14,15.52
8/21/2015,4706.04,2768540000,4968.104032,5054.213631,,7.445750567,10.66884259,NASDAQ,1.36,1.31,1.12,1.57,94.83,123.42,38.9,7.58,19435.83,10195.69,3507.74,1159.6,40.45,15.3
8/24/2015,4526.25,3508840000,4887.766935,5033.509175,,11.42866611,14.26169566,NASDAQ,1.38,1.32,1.14,1.57,93.31,121.73,37.1,7.17,18540.68,9789.94,3209.91,1153.6,38.24,14.76
8/25/2015,4506.49,2612800000,4818.443856,5012.841757,,13.21005927,14.19996494,NASDAQ,1.39,1.33,1.16,1.58,94.53,118.88,39.72,7.26,17806.7,9692.39,2964.97,1138.3,39.31,14.61
8/26/2015,4697.54,2631660000,4796.461337,5000.476982,,7.221865061,8.325421391,NASDAQ,1.41,1.33,1.16,1.57,95.1,118.54,39,7.4,18376.83,9979.67,2927.29,1124.6,38.6,14.04
8/27/2015,4812.71,2368880000,4799.415639,4993.113571,,4.813919808,4.71813178,NASDAQ,1.4,1.33,1.13,1.55,95.61,120.06,40.15,7.9,18574.44,10230.51,3083.59,1122.6,42.56,14.42
8/28/2015,4828.32,1936540000,4804.670978,4986.651078,,4.250753885,5.403328694,NASDAQ,1.39,1.32,1.12,1.54,96.11,121,40.43,7.91,19136.32,10242.06,3232.35,1134,45.22,14.55
8/31/2015,4776.51,1839010000,4799.5508,4978.410251,,5.688881631,7.018094801,NASDAQ,1.4,1.32,1.12,1.54,95.95,121.29,40.79,7.73,18890.48,10176.5,3205.99,1132.5,49.2,14.59
9/1/2015,4636.1,2253750000,4769.832473,4964.98632,,9.82722547,10.62703565,NASDAQ,1.41,1.31,1.12,1.54,95.45,121.09,39.35,7.09,18165.69,9874.67,3166.62,1139.8,45.41,14.62
9/2/2015,4749.98,1929080000,4766.222932,4956.554699,,6.513080055,7.96424406,NASDAQ,1.43,1.33,1.13,1.53,95.83,119.71,39.15,7.34,18095.4,10013.36,3160.17,1133.6,46.25,14.67
9/8/2015,4811.93,1765600000,4774.533308,4950.883143,,4.304302016,6.306201462,NASDAQ,1.44,1.33,1.12,1.53,95.88,119.4,40.29,7.27,17427.08,10109.68,3170.45,1121,45.94,14.75
9/9/2015,4756.53,1963750000,4771.259979,4943.261451,,2.543030318,7.337702064,NASDAQ,1.42,1.32,1.12,1.54,96.01,120.09,40.9,7.32,18770.51,9988.91,3243.09,1102,44.15,14.58
9/10/2015,4796.25,1845770000,4775.803619,4937.496296,,-1.88084441,7.16580662,NASDAQ,1.44,1.33,1.12,1.54,95.46,120.28,40.84,7.38,18299.62,10019.39,3197.89,1109.3,45.92,14.65
9/11/2015,4822.34,1686190000,4784.26478,4932.980363,,-6.139965245,4.854489729,NASDAQ,1.41,1.32,1.13,1.54,95.19,120.62,40.37,7.51,18264.22,10040.22,3200.23,1103.3,44.63,14.51
9/14/2015,4805.76,1467740000,4788.173001,4927.991329,,-6.227318884,4.947812625,NASDAQ,1.41,1.32,1.13,1.54,95.25,120.8,40.1,7.5,17965.7,9988.59,3114.8,1107.7,44,14.36
9/15/2015,4860.52,1587460000,4801.327001,4925.345394,,-3.35313917,4.964077918,NASDAQ,1.4,1.33,1.13,1.54,95.61,120.36,40.35,7.38,18026.48,10105.87,3005.17,1102.6,44.59,14.33
9/16/2015,4889.24,1666380000,4817.311183,4923.929497,,-1.565273949,3.017851445,NASDAQ,1.4,1.32,1.13,1.53,95.42,120.43,40.29,7.17,18171.6,10236.72,3152.26,1119,47.15,14.89
9/17/2015,4893.95,1891510000,4831.245513,4922.75383,,-1.341043533,3.07399953,NASDAQ,1.39,1.32,1.13,1.55,94.55,120.52,40.28,7.09,18432.27,10215.54,3086.06,1117,46.9,14.98
9/18/2015,4827.23,3272150000,4830.51542,4919.007797,,-1.050706099,4.274293953,NASDAQ,1.39,1.32,1.14,1.56,94.86,120.05,39.9,6.95,18070.21,10031.6,3097.92,1137.8,44.68,15.16
9/24/2015,4734.48,1995820000,4813.054434,4911.771413,,-2.077947314,6.62712695,NASDAQ,1.43,1.33,1.12,1.53,95.99,120.2,38.19,6.8,17571.83,9837.81,3142.69,1153.8,44.91,15.13
9/25/2015,4686.5,2050530000,4790.044537,4902.93724,,1.354528966,8.64611117,NASDAQ,1.43,1.33,1.12,1.52,96.27,120.24,38.72,7,17880.51,9857.26,3092.35,1145.6,45.7,15.11
9/28/2015,4543.97,2387610000,4745.303712,4888.860093,,5.897045975,11.34206432,NASDAQ,1.42,1.33,1.12,1.52,96.03,120.37,38.2,6,17645.11,9601.42,3100.76,1131.7,44.43,14.54
9/29/2015,4517.32,2293450000,4703.852128,4874.289894,,5.295396385,11.10680669,NASDAQ,1.43,1.34,1.12,1.52,95.89,119.84,37.33,6.87,16930.84,9622.07,3038.14,1126.8,45.23,14.57
9/30/2015,4620.16,2398350000,4688.635378,4864.324016,,3.811339867,5.569720529,NASDAQ,1.43,1.34,1.13,1.52,96.35,119.86,38.1,7.1,17388.15,9799.69,3052.78,1115.2,45.09,14.52
10/8/2015,4810.79,1984230000,4710.845309,4862.224642,,0.240085308,-2.17739706,NASDAQ,1.39,1.31,1.12,1.53,95.32,119.92,38.5,7.75,18141.17,10361.04,3143.36,1144.3,49.43,15.77
10/9/2015,4830.47,1804260000,4732.595253,4860.979362,,-0.511544425,-6.297937882,NASDAQ,1.38,1.3,1.13,1.54,94.81,119.93,38.5,7.97,18438.67,10361.26,3183.15,1155.9,49.63,15.82
10/13/2015,4796.61,1565060000,4744.234298,4858.455074,,1.33239934,-6.048438376,NASDAQ,1.36,1.3,1.14,1.53,94.76,120.01,38.18,7.97,18234.74,10262.94,3293.23,1165.4,46.66,15.91
10/14/2015,4782.85,1902460000,4751.255335,4855.490169,,2.22440595,-1.783664551,NASDAQ,1.38,1.3,1.14,1.53,93.93,119.72,37.97,7.75,17891,10229.67,3262.44,1179.8,46.64,16.12
10/15/2015,4870.1,1942900000,4772.863456,4856.063103,,0.489723004,-1.178415228,NASDAQ,1.37,1.29,1.15,1.55,94.37,118.83,38.15,8.06,18096.9,10378.27,3338.07,1187.5,46.38,16.16
10/16/2015,4886.69,1855290000,4793.559191,4857.264158,,-1.216774545,-1.194469058,NASDAQ,1.36,1.29,1.14,1.55,94.54,119.05,38.65,8.12,18291.8,10421.91,3391.35,1183.1,47.26,16.11
10/19/2015,4905.47,1619920000,4813.906611,4859.154583,,-3.485700657,-2.628902022,NASDAQ,1.38,1.29,1.14,1.54,94.96,119.27,38.92,7.95,18131.23,10391.6,3386.7,1172.8,45.89,15.84
10/20/2015,4880.97,1711700000,4826.099954,4860.01009,,-3.984249032,-5.016830671,NASDAQ,1.38,1.3,1.13,1.55,94.85,119.5,38.99,7.91,18207.15,10383.42,3425.33,1177.5,45.55,15.92
10/21/2015,4840.12,1895390000,4828.649053,4859.230086,,-6.118649951,-1.86235052,NASDAQ,1.38,1.3,1.14,1.54,95.05,119.78,38.93,8.15,18554.28,10306.44,3320.68,1167.1,45.2,15.71
10/22/2015,4920.05,2156040000,4845.267407,4861.615181,,-8.18548592,-2.197538643,NASDAQ,1.39,1.31,1.13,1.54,96.34,119.84,38.98,7.92,18435.87,10448.83,3368.74,1166.1,45.38,15.84
10/23/2015,5031.86,2178270000,4879.193333,4868.291448,,-8.181865155,-5.47173411,NASDAQ,1.39,1.31,1.11,1.54,97.07,120.86,39.47,8.09,18825.3,10506.51,3412.43,1162.8,44.6,15.83
10/26/2015,5034.7,1758690000,4907.467273,4874.817274,,-4.447335492,-4.736131249,NASDAQ,1.38,1.32,1.1,1.53,96.86,121.3,39.42,7.96,18947.12,10464.62,3429.58,1166.2,43.98,15.91
10/27/2015,5030.15,1986840000,4929.773223,4880.908753,,-3.969662933,-4.131288331,NASDAQ,1.38,1.32,1.11,1.54,96.91,120.95,39.63,8.05,18777.04,10400.18,3434.34,1165.8,43.2,15.86
10/28/2015,5095.69,2141130000,4959.93991,4889.331547,,-5.869273837,-5.689710324,NASDAQ,1.39,1.33,1.1,1.53,97.78,120.48,39.8,7.96,18903.02,10538.2,3375.2,1176.1,45.94,16.29
10/29/2015,5074.27,1928310000,4980.727199,4896.584036,,-5.74309211,-4.212428586,NASDAQ,1.41,1.32,1.09,1.53,97.28,120.86,39.92,7.84,18935.71,10498.16,3387.31,1147.3,46.06,15.55
10/30/2015,5053.75,2016390000,4994.004072,4902.747407,,-3.633935197,-3.25520653,NASDAQ,1.41,1.32,1.1,1.53,96.95,121,39.98,8,19083.1,10460.96,3382.56,1141.4,46.59,15.57
11/2/2015,5127.15,1888180000,5018.212422,4911.547509,,-4.689934954,-4.54833582,NASDAQ,1.4,1.31,1.1,1.54,96.93,120.5,39.42,7.91,18683.24,10579.87,3325.08,1135.9,46.14,15.41
11/4/2015,5142.48,2096110000,5040.806527,4920.603685,,-4.608865761,-6.130310667,NASDAQ,1.39,1.31,1.1,1.54,97.95,121.1,39.18,7.73,18926.91,10563.96,3459.64,1106.2,46.32,15.06
11/5/2015,5127.74,2054490000,5056.612613,4928.726677,,-4.812451489,-7.669265602,NASDAQ,1.4,1.32,1.09,1.54,97.94,121.49,42.5,7.61,19116.41,10548.36,3522.82,1104.2,45.2,14.98
11/6/2015,5147.12,2066430000,5073.068502,4937.291121,,-5.964500536,-8.949082205,NASDAQ,1.4,1.32,1.09,1.52,99.16,121.67,43.69,7.68,19265.6,10513.36,3590.03,1087.7,44.29,14.69
11/9/2015,5095.3,1850770000,5077.110592,4943.487548,,-3.439444194,-10.82036386,NASDAQ,1.42,1.33,1.07,1.51,98.98,123.2,43.97,7.79,19642.74,10415.19,3646.88,1088.1,43.87,14.41
11/10/2015,5083.24,1906120000,5078.22503,4948.968036,,-1.010772657,-11.13305687,NASDAQ,1.42,1.33,1.08,1.51,99.29,123.08,43.63,7.9,19671.26,10432.35,3640.49,1088.5,44.21,14.36
11/11/2015,5067.02,1672340000,5076.187752,4953.597525,,-0.637850255,-8.818990255,NASDAQ,1.42,1.33,1.07,1.51,99.01,123.08,43.51,7.95,19691.39,10399.9,3650.25,1084.9,42.93,14.26
11/12/2015,5005.08,1820930000,5063.25907,4955.616446,,0.500891095,-3.881856034,NASDAQ,1.41,1.33,1.08,1.52,98.65,122.76,43.06,7.91,19697.77,10235.95,3632.9,1081,41.75,14.23
11/13/2015,4927.88,2001050000,5038.644693,4954.528742,,3.405318311,-1.976712095,NASDAQ,1.4,1.33,1.08,1.52,98.99,122.56,43.1,7.66,19596.91,10155.07,3580.84,1080.9,40.74,14.2
11/16/2015,4984.62,1819190000,5028.822022,4955.708791,,1.798532285,-3.771802063,NASDAQ,1.41,1.33,1.07,1.52,99.44,122.36,42.57,7.79,19393.69,10299.4,3606.96,1083.6,41.74,14.22
11/17/2015,4986.02,1861710000,5021.039836,4956.897466,4967.6555,1.358398081,-4.074793122,NASDAQ,1.41,1.33,1.07,1.52,99.63,123.27,43.53,7.82,19630.63,10285.76,3604.79,1068.6,40.67,14.17
11/18/2015,5075.2,2017390000,5030.887139,4961.536781,4969.785094,1.023604981,-4.04122005,NASDAQ,1.41,1.33,1.06,1.52,99.65,123.45,44.53,7.8,19649.18,10429.6,3568.47,1068.7,40.75,14.08
11/19/2015,5073.64,1794110000,5038.660386,4965.932986,4971.841627,1.356816802,-3.684731278,NASDAQ,1.4,1.33,1.07,1.52,98.99,123.53,45.58,7.97,19859.81,10431.46,3617.06,1077.9,40.54,14.22
11/20/2015,5104.92,1766630000,5050.707589,4971.383457,4974.476842,0.447019738,-3.907015193,NASDAQ,1.39,1.33,1.07,1.53,99.57,122.91,46.56,8,19879.81,10444.2,3630.5,1076.3,40.39,14.1
11/24/2015,5102.81,1956920000,5060.180754,4976.537439,4977.018093,0.868345088,-4.347408585,NASDAQ,1.39,1.34,1.06,1.51,99.53,122.92,44.65,8.09,19924.89,10449.72,3616.11,1073.3,42.87,14.16
11/25/2015,5116.14,1539300000,5070.355163,4982.012049,4979.772982,-0.407338345,-5.395083012,NASDAQ,1.38,1.33,1.06,1.51,99.8,122.5,46.04,7.98,19847.58,10450.36,3647.93,1069.7,43.04,14.16
11/27/2015,5127.52,781730000,5080.748769,4987.718243,4982.698666,-0.863575374,-4.046205573,NASDAQ,1.39,1.33,1.06,1.51,100.02,122.63,46.92,7.92,19883.94,10450.53,3436.3,1056.2,41.71,14.03
11/30/2015,5108.67,2244550000,5085.825357,4992.46145,4985.193147,-0.815280689,-1.503522443,NASDAQ,1.39,1.34,1.06,1.5,100.17,122.83,47.08,7.9,19747.47,10409.59,3445.41,1065.3,41.65,14.09
12/1/2015,5156.31,2035570000,5098.640746,4998.886883,4988.5816,-2.932911326,-2.358469526,NASDAQ,1.38,1.33,1.06,1.51,99.8,123.21,46.31,7.86,20012.4,10519.59,3456.31,1063.5,41.85,14.08
12/2/2015,5123.22,2060340000,5103.109702,5003.762691,4991.247707,-3.812836458,-1.816630947,NASDAQ,1.37,1.34,1.06,1.51,99.99,122.92,46.35,7.89,19938.13,10389.2,3536.91,1053.8,39.94,14.01
12/3/2015,5037.53,2088100000,5091.18612,5005.0869,4992.164188,-1.050316326,1.154534067,NASDAQ,1.37,1.33,1.06,1.49,97.62,123.23,46.11,7.74,19939.9,10257.38,3584.82,1061.2,41.08,14.08
12/4/2015,5142.27,1897490000,5100.474098,5010.466629,4995.13658,-3.038541345,-1.322373193,NASDAQ,1.36,1.33,1.09,1.51,98.35,122.65,45.7,7.79,19504.48,10408.86,3524.99,1084.1,39.97,14.53
12/7/2015,5101.81,1952690000,5100.716989,5014.048722,4997.248925,-0.521579596,-0.942018617,NASDAQ,1.36,1.34,1.09,1.51,98.66,123.19,46.58,7.71,19698.15,10304.53,3536.93,1075.2,37.65,14.33
12/8/2015,5098.24,1871450000,5100.266627,5017.350341,4999.248748,-0.482519458,0.567058436,NASDAQ,1.38,1.35,1.08,1.51,98.47,123.28,45.61,7.49,19492.6,10198.37,3470.07,1075.3,37.51,14.12
12/9/2015,5022.87,2003450000,5086.194513,5017.566798,4999.716496,1.633528242,2.381307898,NASDAQ,1.38,1.36,1.09,1.5,97.35,122.91,45.96,7.48,19301.07,10162.37,3472.44,1076.5,37.16,14.19
12/10/2015,5045.17,1746520000,5078.735511,5018.649277,5000.616565,1.142478846,1.636614822,NASDAQ,1.38,1.36,1.1,1.52,97.94,121.7,45.28,7.59,19046.55,10172.04,3455.5,1072,36.76,14.11
12/11/2015,4933.47,2084950000,5052.3236,5015.308913,4999.28693,3.702667696,4.330623273,NASDAQ,1.38,1.36,1.09,1.52,97.57,121.71,44.33,7.6,19230.48,9976.65,3434.58,1075.7,35.62,13.88
12/14/2015,4952.23,2216060000,5034.124764,5012.83523,4998.35511,3.539617506,2.889001521,NASDAQ,1.4,1.37,1.1,1.52,97.6,120.89,44.15,7.72,18883.42,9986.76,3520.67,1063.4,36.31,13.7
12/15/2015,4995.36,2054710000,5027.076625,5012.149927,4998.295801,2.268304987,1.759232568,NASDAQ,1.38,1.37,1.1,1.52,98.22,121.09,44.79,7.66,18565.9,10110.94,3510.35,1061.6,37.35,13.77
12/16/2015,5071.13,2036610000,5035.086329,5014.462871,4999.738062,1.679704523,-0.081047025,NASDAQ,1.39,1.37,1.09,1.5,97.87,121.68,45.1,7.87,19049.91,10267.83,3516.19,1076.8,35.52,14.25
12/17/2015,5002.55,1897220000,5029.170633,5013.995699,4999.793744,2.412169793,0.050574207,NASDAQ,1.39,1.38,1.09,1.5,99.27,122.46,47.2,7.94,19353.56,10112.63,3580,1049.6,34.95,13.7
12/18/2015,4923.08,3765210000,5009.881427,5010.430378,4998.27466,2.324764172,0.097499939,NASDAQ,1.4,1.39,1.08,1.49,98.7,122.45,47.29,7.85,18986.8,9967.64,3578.96,1065,34.73,14.1
12/21/2015,4968.92,1673400000,5002.433895,5008.80252,4997.69338,3.48868567,0.315964032,NASDAQ,1.4,1.39,1.09,1.49,98.46,121.3,46.94,7.93,18916.02,10023.03,3642.47,1080.6,34.74,14.32
12/22/2015,5001.11,1556670000,5002.193187,5008.500852,4997.761036,2.013552991,-0.301733015,NASDAQ,1.39,1.4,1.09,1.49,98.24,121.21,46.86,8.01,18886.7,10112.4,3651.77,1074.1,36.14,14.31
12/24/2015,5048.49,706880000,5010.610789,5010.069054,4998.76557,0.985443172,0.529069088,NASDAQ,1.38,1.39,1.09,1.49,97.98,120.93,46.74,7.97,18789.69,10258.55,3612.49,1075.9,38.1,14.38
12/28/2015,5040.99,1310650000,5016.134282,5011.28164,4999.601697,-0.359453203,0.647690235,NASDAQ,1.37,1.38,1.1,1.49,97.92,120.23,46.86,7.86,18873.35,10217.4,3533.78,1068.3,36.81,13.88
12/29/2015,5107.94,1383470000,5032.826231,5015.072164,5001.74701,-1.22887113,-0.059123639,NASDAQ,1.38,1.39,1.1,1.49,98.1,120.35,47.72,7.99,18982.23,10306.6,3563.74,1068,37.87,13.93
12/30/2015,5065.85,1247530000,5038.830552,5017.063452,5003.016376,-2.613184362,0.729591283,NASDAQ,1.37,1.38,1.09,1.48,98.27,120.53,48,7.88,19033.71,10225.83,3572.88,1059.8,36.6,13.84
1/4/2016,4903.09,2218420000,5014.150452,5012.593905,5001.037636,1.002225127,4.345219035,NASDAQ,1.37,1.39,1.09,1.47,98.87,120.31,46.4,7.72,18450.98,10001.56,3296.26,1075.2,36.76,13.84
1/5/2016,4891.43,1927380000,4991.837643,5007.842379,4998.867188,2.124736529,4.826604899,NASDAQ,1.39,1.39,1.08,1.47,99.4,119.47,46.46,7.79,18374,10028.06,3287.71,1078.4,35.97,13.97
