,Residual
2022-04-27,-42.322351210665374
2022-04-28,-41.09603075154034
2022-05-06,-40.74871362026954
2022-05-09,-38.16384299130938
2022-05-10,-36.02402505614771
2022-05-11,-37.28266681677604
2022-05-12,-36.47885067166108
2022-05-13,-36.84792869577702
2022-05-16,-37.710386656757024
2022-05-17,-37.26476847612281
2022-05-18,-37.9046287516136
2022-05-19,-40.90283427654418
2022-05-20,-41.00902776188082
2022-05-23,-40.58849141756838
2022-05-24,-38.550751805509506
2022-05-25,-38.97008093968171
2022-05-26,-40.37817481938068
2022-05-27,-40.794280769856094
2022-06-01,-42.48921248165662
2022-06-02,-42.11978284775812
2022-06-06,-42.14145318367605
2022-06-07,-42.092144146417304
2022-06-08,-40.554775929740444
2022-06-09,-38.84180429690046
2022-06-10,-36.173185825524726
2022-06-13,-37.91062503569247
2022-06-14,-35.963195090061376
2022-06-15,-34.223058302035895
2022-06-16,-35.70183760538963
2022-06-17,-37.37720914987359
2022-06-22,-36.19882903790697
2022-06-23,-36.936474518082186
2022-06-24,-37.86824377265508
2022-06-27,-38.08222654303071
2022-06-28,-39.22941616662336
2022-06-29,-39.165153048330275
2022-06-30,-39.09705391591289
2022-07-01,-40.196125857672044
2022-07-06,-39.655397104572245
2022-07-07,-38.97190520595259
2022-07-08,-38.29963170205962
2022-07-11,-36.7290591844087
2022-07-12,-36.48322259428776
2022-07-13,-38.20037753667568
2022-07-14,-37.92678818208581
2022-07-15,-36.12249585082251
2022-07-19,-35.396007471553766
2022-07-20,-35.87242705463932
2022-07-21,-36.78595815495226
2022-07-22,-38.685212229457925
2022-07-25,-38.085639140380536
2022-07-26,-38.134287441451725
2022-07-27,-37.305440688386724
2022-07-28,-36.860199504318885
2022-07-29,-37.73660327281488
2022-08-01,-39.137736317881654
2022-08-02,-41.37739782571634
2022-08-03,-41.15009283393824
2022-08-04,-42.1200460051062
2022-08-05,-44.23733347812857
2022-08-08,-44.62638310473271
2022-08-09,-44.50591857084584
2022-08-10,-45.29705854325565
2022-08-12,-45.474429364599914
2022-08-15,-40.16945042969817
2022-08-16,-40.591401881410235
2022-08-17,-40.13460993702837
2022-08-18,-39.427947314238786
2022-08-19,-38.83425393905905
2022-08-22,-39.24854484271009
2022-08-23,-40.34557344201033
2022-08-24,-42.158462635072
2022-08-25,-43.083334821052325
2022-08-26,-45.08058262890738
2022-08-29,-44.37726836222209
2022-08-30,-45.28227816519757
2022-08-31,-43.66240939527418
2022-09-01,-42.016201842898816
2022-09-02,-42.65820584751225
2022-09-07,-44.52039145345603
2022-09-08,-41.16415776925509
2022-09-09,-40.500944584542864
2022-09-13,-38.425781258710245
2022-09-14,-37.272102516405454
2022-09-15,-37.17718268303552
2022-09-16,-37.604210952581724
2022-09-20,-37.183046909663915
2022-09-21,-34.4434869135671
2022-09-22,-35.70388971052873
2022-09-26,-34.01375841848282
2022-09-27,-32.93888052607174
2022-09-28,-32.66242083744909
2022-09-29,-33.30313139020557
2022-09-30,-31.79265539521766
2022-10-11,-32.5272842195183
2022-10-12,-31.574397600908647
2022-10-13,-29.49369581867821
2022-10-14,-30.047292273933568
2022-10-17,-31.844195317909186
2022-10-18,-32.39205723417115
2022-10-19,-32.51367911600171
2022-10-20,-31.731049188512618
2022-10-21,-31.679559037730538
2022-10-24,-33.109116007829286
2022-10-25,-33.744371157100105
2022-10-26,-34.92209929977271
2022-10-27,-35.986787004505345
2022-10-28,-35.72747896839431
2022-10-31,-35.684530075226085
2022-11-01,-33.10046741255404
2022-11-02,-32.78439333563267
2022-11-04,-33.040919738199165
2022-11-07,-32.86081933762208
2022-11-08,-34.29872252941536
2022-11-09,-34.067696042900955
2022-11-10,-34.71443067607731
2022-11-11,-37.13381347815415
2022-11-14,-38.73305850874162
2022-11-15,-37.739546398233685
2022-11-16,-37.950097180261714
2022-11-17,-37.08887279412242
2022-11-18,-37.74951053082897
2022-11-21,-38.11360559257457
2022-11-22,-37.39877808822645
2022-11-25,-37.94724538601042
2022-11-28,-38.53269302495353
2022-11-29,-38.72940210863237
2022-11-30,-38.5495349556474
2022-12-01,-39.56433346770781
2022-12-02,-40.54218552673184
2022-12-05,-41.559120123164746
2022-12-06,-40.72153973315564
2022-12-07,-39.42441264866213
2022-12-08,-38.34951214269592
2022-12-09,-36.64148156015452
2022-12-12,-37.369771526124495
2022-12-13,-36.35859045843361
2022-12-14,-38.4688345095778
2022-12-15,-38.44542803747204
2022-12-16,-36.98768396950307
2022-12-19,-36.972330212176125
2022-12-20,-36.61364928829153
2022-12-21,-36.33411262508548
2022-12-22,-38.22911243093562
2022-12-23,-39.344207954083984
2022-12-27,-39.87537635801743
2022-12-28,-39.268980856710925
2022-12-29,-39.78360908532544
2022-12-30,-40.3709779394989
2023-01-04,-38.25022763816236
2023-01-05,-40.161367870465284
2023-01-06,-38.584404746288065
2023-01-10,-38.01720023769215
2023-01-11,-40.550964598344194
2023-01-12,-45.14513737264082
2023-01-13,-44.317234734305295
2023-01-17,-45.11882693621856
2023-01-18,-45.29151863362622
2023-01-19,-46.0778810359498
2023-01-20,-47.25568288940345
2023-01-30,-47.041621259149025
2023-01-31,-47.10808794769003
2023-02-01,-46.01197265063284
2023-02-02,-46.00360567396987
2023-02-03,-47.777024512778645
2023-02-06,-47.458615595312644
2023-02-07,-45.7724166849991
2023-02-08,-44.40262517491386
2023-02-09,-44.3451294437009
2023-02-10,-44.2312494924221
2023-02-13,-45.383587615046295
2023-02-14,-45.38712341749476
2023-02-15,-45.964402280324784
2023-02-16,-46.82441337573567
2023-02-17,-45.71054102914729
2023-02-21,-43.41466330022994
2023-02-22,-43.15051692290275
2023-02-24,-38.132213639248974
2023-02-27,-35.20539896739655
2023-02-28,-36.12326717786201
2023-03-01,-34.931357318579956
2023-03-02,-37.036871758980624
2023-03-03,-36.890765766217655
2023-03-06,-36.59683399972416
2023-03-07,-36.16321974870731
2023-03-08,-35.24243593937598
2023-03-09,-33.881937503538765
2023-03-10,-34.39816327282223
2023-03-13,-34.69739544912449
2023-03-14,-32.52449969122985
2023-03-15,-34.0335048008623
2023-03-16,-32.74307323749465
2023-03-17,-33.496698602802844
2023-03-20,-32.48564665868379
2023-03-22,-33.61932959048363
2023-03-23,-34.26378059633119
2023-03-24,-35.87596768032928
2023-03-27,-35.36031792947125
2023-03-28,-36.058955146497055
2023-03-29,-35.413029981401266
2023-03-30,-35.56602453676204
2023-03-31,-36.177284911609135
2023-04-03,-36.79433687155731
2023-04-04,-35.13447811343998
2023-04-06,-36.31292417615306
2023-04-11,-37.866614838485546
2023-04-12,-38.00119070093544
2023-04-13,-38.854046794289275
2023-04-14,-39.02217972579489
2023-04-17,-38.81140627913162
2023-04-18,-37.23253394170756
2023-04-19,-37.81155511779194
2023-04-20,-38.13103998479538
